,장소이름,소개,가격대,요리,특별식 제공,식사 시간,특징
1581,차이나하우스,차이나 하우스는 중국 4대 진미를 맛볼 수 있는 정통 중식 레스토랑입니다. 중국 스타 셰프가 정통식으로 준비한 다양한 전채 요리와 시그니처 요리를 즐겨보세요. 반드시 맛보아야 하는 대표 요리인 북경 오리 요리는 오랜시간 동안 구워진 후 테이블 바로 옆에서 정성스럽게 서빙됩니다.,"₩30,000 - ₩150,000","중국 요리, 해산물, 아시아 요리, 수프",,"아침식사, 점심식사, 저녁식사","예약, 주차 가능, 주류 판매, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스"
1582,마시레치킨,,,"아시아 요리, 한국, 펍, 맥주 음식점",,,
1583,돌담길괴기집,,,"아시아 요리, 한국",,,
1584,삼양다방,,,,,,
1585,캔사스,,,,,,
1586,우도 근고기,,,"아시아 요리, 한국",,,
1587,소문난 맛집,,,"아시아 요리, 한국",,,
1588,유메야마,"엄선된 프리미엄 사케와 정통 진미를 통해 일본 요리의 특별함을 선보입니다. 레스토랑 중앙에 위치한 라이브 키친에서는 일식 전문 셰프의 일본식 꼬치 요리, 스시 요리가 서빙됩니다. 눈앞에서 펼쳐지는 화려한 테판야끼 퍼포먼스는 레스토랑에 또 다른 특별한 활기를 불어넣어 줍니다.","₩30,000 - ₩150,000","일본 요리, 스시",,"점심식사, 저녁식사",
1589,경민네흑돼지,,,,,,
1590,차세상,"차세상(茶世上)은 1996년 제주 서귀포에서 시작한 이래로 믿고 마실 수 있는 보이차, 오룡차 및 차도구를 직접 수입 판매해 오고 있으며 20여년 간 신뢰를 바탕으로 꾸준히 지속해오고 있는 제주 최고(最古)의 차 전문점입니다. 차세상은 식약처의 검역을 거쳐 정식으로 통관된 제품만을 취급하고 있으며, 중국차 이외에도 녹차, 홍차, 허브차 및 각종 대용차류와 다양한 차도구를 구비하고 있습니다. 애호가들을 위한 상품(上品)부터 처음 시작하는 분들을 위한 부담없는 가격의 제품까지 폭넓게 보유하고 있으며 시음 및 음용법을 친절히 안내해 드리고 있습니다. 조용한 분위기의 카페 공간도 마련되어 있으니 편하게 오셔서 차 한 잔의 여유를 가지시기 바랍니다.","₩5,882,353 - ₩1,176,470,528","중국 요리, 아시아 요리, 한국, 윈난",,"점심식사, 저녁식사, 음료",
1591,구엄해녀수산,,,"해산물, 아시아 요리, 한국",,,
1592,배두리광장,,"₩14,900 - ₩18,900","피자, 펍",,"저녁식사, 야간 영업, 음료","배달, 테이크아웃, 예약, 야외석, 좌석, 유아용 의자 있음, 주류 판매, 와인 및 맥주, 전자 결제, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스, 금연 음식점"
1593,Gongbech,,,카페,,,
1594,효퇴국수국밥,,,,,,
1595,Groov Jeju,,,"미국 요리, 카페, 와인 바",,"점심식사, 저녁식사",
1596,카페록록,,,카페,,,
1597,우리집,,,,,,
1598,하나마루,,,일본 요리,,,
1599,현지통아귀찜,,,,,,
1600,스시향,,,스시,,,
1601,던킨 도너츠 제주대학교,,,,,,
1602,풀하우스,,,,,"아침식사, 점심식사",
1603,그랜마스 - 서귀포점,,,"미국 요리, 피자, 건강식, 수프",,"아침식사, 점심식사, 브런치, 음료","배달, 테이크아웃, 야외석, 좌석, 유아용 의자 있음, 휠체어 이용 가능, 마스터카드, 비자카드, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스, 가족형, 금연 음식점"
1604,제주서문수산,,,일본 요리,,,
1605,예쁜횟집,,"₩17,500 - ₩30,000",,,,
1606,탐라반상,,,"아시아 요리, 한국",,,
1607,소세지가게,,,"독일 요리, 아시아 요리, 한국",,,
1608,카페리,,,카페,,,
1609,칠칠팜,,,"아시아 요리, 한국",,,
1610,돔배돈 공함점,,,"아시아 요리, 한국",,,
1611,로컬푸드 뷔페 섬채,"섬채는 제주에서 구한 신선하고 건강한 식재료를 우선으로 계절의 변화에 충실한 제철음식을 만들고자 합니다. 한식, 중식, 일식 그리고 제주 전통 음식까지 다양한 음식을 고급스러운 분위기의 매장에서 즐길 수 있습니다. 제주공항에서 5분 거리로 아주 가까이 있어 이용하기도 아주 편리합니다. 제주의 맛을 즐길 수 있는 섬채로 오세요","₩9,900 - ₩19,900","중국 요리, 아시아 요리, 한국, 일본식 퓨전",,"점심식사, 저녁식사","부페, 주차 가능, 무료 주차장, 주류 판매, 무료 와이파이, 신용카드 결제 가능"
1612,Mulmaegol,,,"아시아 요리, 한국",,,
1613,명당양과,,,,,,
1614,한라산도야지,,,,,,
1615,풍어회센타,,,,,,
1616,사돈집,,,"아시아 요리, 한국",,,
1617,바당한그릇,,,"일본 요리, 아시아 요리, 한국",,,
1618,뵈뵈,,,"아시아 요리, 한국",,,
1619,Aldongnaejip,,,"바베큐, 아시아 요리, 한국, 그릴",,,
1620,Burger&Churros of To Island,,,미국 요리,,,
1621,이치류양심 - 제주점,,,일본 요리,,저녁식사,
1622,whangwujeong Korean Restaurant,,,"아시아 요리, 한국",,,
1623,애드쿡,,,이탈리아 요리,,,
1624,코시롱,,,,,,
1625,흑돈사,,,바베큐,,,
1626,소문난할머니집,,,,,,
1627,우도해녀와바다,"현지인들이 즐겨찾는 로컬식당입니다. 푸짐한 가정식 백반과 향토음식, 신선한 해물요리가 인기입니다.","₩7,000 - ₩30,000","아시아 요리, 한국",,,
1628,로컬크랩,,,해산물,,,
1629,우도자연,,,,,,
1630,유명제과,,,,,,
1631,Teaujong,,,"아시아 요리, 한국",,,
1632,운산,,,,,,
1633,뚱보아저씨,,,"아시아 요리, 한국",,,
1634,신토계,,,,,,
1635,다니쉬,,,카페,,,
1636,외도노래연습장,,,,,,
1637,오후다섯시두가지착각조차도,,,"프랑스 요리, 카페, 아시아 요리, 한국, 과테말라, 남미 요리, 콜롬비아",,,
1638,우도주막,,,"자가 맥주 판매pub, 아시아 요리, 한국, 펍",,,
1639,비자블,"일본식 브런치 카페 -일본식 돈까스, 카레, 샌드위치, 스프, 파스타 등이 있고 -커피와 다양한 음료가 있어요. -따뜻한 봄,여름에는 다양한 꽃들이 있는 정원이 있고, 아이들이 뛰어놀기 좋아요.","₩6,500 - ₩11,000",일본 요리,,,
1640,소호,,,컨템퍼러리,,,
1641,구좌상회,,,카페,,,
1642,신비의사랑 세번째이야기,,,카페,,,
1643,도깨비횟집,,,,,,
1644,Sorella in Jeju,,,"이탈리아 요리, 해산물",,,
1645,제주 풍차와 전복,,,"해산물, 아시아 요리, 한국",,"점심식사, 저녁식사",
1646,마노커피하우스,,"₩6,000 - ₩10,000","스테이크하우스, 카페, 패스트푸드, 뉴질랜드, 맥주 음식점",,,
1647,멕시카나치킨 이도점,,,,,,
1648,비자림미담,,,"아시아 요리, 한국",,,
1649,델리,"세계적으로 유명한 파티시에가 매일 갓 구워내는 향기로운 빵과 케이크, 디저트가 준비된 부티크 베이커리 숍입니다. 정성스럽게 만들어진 수제 초콜릿도 함께 만나 보실 수 있으며, 품질 좋은 테이크 아웃 커피는 물론 제주 스페셜 티까지 구입 가능합니다.",,"프랑스 요리, 카페, 유럽 요리, 컨템퍼러리",,"점심식사, 저녁식사",
1650,그랜드 키친,"세계 각국의 다양한 요리를 한자리에 선보이는 인터내셔널 뷔페 레스토랑으로 라이브 스테이션에서는 셰프가 직접 눈 앞에서 만들어주는 요리를 즐길 수 있습니다. 해산물, 야채, 고기 등 제주의 신선한 식재료를 이용하여 다양한 종류의 전통 한식부터 서양식 요리, 중국식 볶음요리까지 여러 가지의 메뉴들을 맛볼 수 있습니다.",,,,"아침식사, 점심식사, 저녁식사",
1651,비자림 꿩요리점,,,"아시아 요리, 한국",,,
1652,양,,"₩11,765 - ₩35,294","바베큐, 아시아 요리, 한국, 그릴, 다이너",,,
1653,가드망제,,,"이탈리아 요리, 카페, 퓨전",,,
1654,남문숯불바베큐치킨,,,,,,
1655,한림바다 생태체험마을,,,"스시, 아시아 요리, 한국, 그릴, 건강식",,,
1656,금능태왁,,,"이탈리아 요리, 아시아 요리, 한국, 그릴, 펍, 퓨전",,"점심식사, 저녁식사",
1657,돈가,,,"아시아 요리, 한국",,,
1658,월정어촌계식당,,,"아시아 요리, 한국",,,
1659,한가네 등갈비 전문점,,,,,"아침식사, 점심식사, 저녁식사",
1660,더 앨리 - 제주 연동점,"It’s time for Tea! A good cup of tea is hidden within each and every one’s heart. On that relaxing afternoon, bath in sunshine’s’ warmth, sprinkle by breezy wind, charmed by a lover’s smile, fulfilled by the pleasing aftertaste. Reminisce the touching satisfaction from that first cup of good tea, to share this delight with everyone, to keep up with this originality, give rise to “The Alley”.","₩4,000 - ₩5,800",카페,,,
1661,꽃밥,,,,,,
1662,호로록,,,"인터내셔널, 아시아 요리, 한국",,,
1663,탑해장국,,,"아시아 요리, 한국",,,
1664,New Jersey cafe,,,"미국 요리, 자가 맥주 판매pub, 아시아 요리, 한국, 영국 요리, 펍",,,
1665,지상,,,스시,,,
1666,먹자씨연탄구이,,,,,,
1667,투윙 - 제주외도점,,,아시아 요리,,,
1668,밥&펍,,,,채식주의 식단,,
1669,원조흑돼지산야초쌈밥,,,,,,
1670,포 차,모던한 감성이 살아 숨쉬는 포차는 세련되고 트렌디한 인테리어를 자랑합니다. 제주 전경이 내려다 보이는 트렌디하고 특색있는 공간에서 현대적으로 재해석된 한국의 대표 안주 메뉴와 주류를 즐겨보세요. 남녀노소 누구나 포차에서 색다른 다이닝 경험을 할 수 있습니다.,"₩30,000 - ₩200,000","해산물, 아시아 요리, 한국, 그릴, 펍, 길거리 음식",,저녁식사,
1671,배스킨라빈스 제주중앙,,,,,,
1672,배스킨라빈스 제주대학교,,,,,,
1673,김가네 제주화북점,,,"아시아 요리, 한국",,,
1674,김가네 제주외도점,,,"아시아 요리, 한국",,,
1675,김가네 제주한라대점,,,"아시아 요리, 한국",,,
1676,김가네 제주탑동점,,,"아시아 요리, 한국",,,
1677,김가네 제주일도점,,,"아시아 요리, 한국",,,
1678,김가네 도남점,,,"아시아 요리, 한국",,,
1679,면차롱,,,"중국 요리, 아시아 요리, 한국",,,
1680,배스킨라빈스 제주법원,,,,,,
1681,스시황,,,,,,
1682,죽이야기 제주 노형점,,,"아시아 요리, 한국",,,
1683,죽이야기 구제주점,,,"아시아 요리, 한국",,,
1684,Sunwoosusan,,,"해산물, 스시, 아시아 요리, 한국",,,
1685,배스킨라빈스 제주화북,,,,,,
1686,제주 마꼬또,,,"아시아 요리, 한국, 퓨전",,,
1687,오빠밥줘,,,"아시아 요리, 한국, 퓨전",,"점심식사, 저녁식사",
1688,홍요깃거리카페,,,"아시아 요리, 한국",,,
1689,갈치공장,,"₩12,000 - ₩30,000","해산물, 아시아 요리, 한국",,,
1690,주르레식당,,,"아시아 요리, 한국, 컨템퍼러리, 퓨전",,,
1691,빠레뜨 한남 제주협재점,,,,,"점심식사, 저녁식사",
1692,Seppy Bagel,,,미국 요리,,,
